valid_time,u100,v100,u10,v10,d2m,t2m,latitude,longitude
2025-01-06 01:00:00,-1.6397095,0.5262451,-1.3149414,0.4557953,290.06964,291.13324,13.0,77.5
2025-01-06 02:00:00,-1.5692902,0.06843567,-1.2669678,0.12321472,289.77167,290.6579,13.0,77.5
2025-01-06 03:00:00,-1.6011047,-0.17506409,-1.2549286,-0.08352661,289.08435,289.1714,13.0,77.5
2025-01-06 04:00:00,-1.5772858,-0.27934265,-1.2646179,-0.15991211,289.1891,289.51733,13.0,77.5
2025-01-06 05:00:00,-1.4302216,-0.35325623,-1.1608429,-0.22814941,289.53595,293.50845,13.0,77.5
2025-01-06 06:00:00,-1.4490814,-0.33410645,-1.1748352,-0.22427368,288.70163,296.6192,13.0,77.5
2025-01-06 07:00:00,-1.6705322,-0.26654053,-1.3457642,-0.18403625,287.69598,297.54456,13.0,77.5
2025-01-06 08:00:00,-1.964859,0.033462524,-1.5771637,0.0635376,287.09296,299.0359,13.0,77.5
2025-01-06 09:00:00,-2.2658386,0.4330902,-1.8075409,0.3885498,286.79932,299.73083,13.0,77.5
2025-01-06 10:00:00,-2.2420197,0.99890137,-1.7628326,0.8357544,287.03046,298.87238,13.0,77.5
2025-01-06 11:00:00,-2.079132,1.111145,-1.6081238,0.90257263,287.1223,298.8116,13.0,77.5
2025-01-06 12:00:00,-2.3453827,1.4996185,-1.0513611,0.7371826,288.10913,298.23987,13.0,77.5
2025-01-06 13:00:00,-3.0470276,2.5216217,-1.7079163,1.3631744,288.1493,296.8977,13.0,77.5
2025-01-06 14:00:00,-3.7710114,3.216446,-1.8385315,1.236618,288.11902,295.53156,13.0,77.5
2025-01-06 15:00:00,-4.167038,3.41391,-1.8564911,1.1190948,288.08957,293.4638,13.0,77.5
2025-01-06 16:00:00,-4.8578644,3.6679535,-2.2114105,1.2742004,288.03067,293.0732,13.0,77.5
2025-01-06 17:00:00,-5.2743835,3.7350464,-2.442215,1.4074554,287.88416,291.5526,13.0,77.5
2025-01-06 18:00:00,-4.941101,3.5442352,-2.2250519,1.3035126,287.87488,291.0419,13.0,77.5
2025-01-06 19:00:00,-4.495636,3.233902,-1.9259338,1.0419769,287.73743,290.36203,13.0,77.5
2025-01-06 20:00:00,-3.991043,2.9036713,-1.6772308,0.7699585,287.66464,289.75204,13.0,77.5
2025-01-06 21:00:00,-3.825058,2.566574,-1.6983337,0.5168457,287.3208,288.90417,13.0,77.5
2025-01-06 22:00:00,-4.0043488,2.8275604,-1.7404633,0.6785126,287.7383,288.87463,13.0,77.5
2025-01-06 23:00:00,-3.663086,1.9530334,-1.7291107,0.15803528,287.57108,288.59286,13.0,77.5
2025-01-07 00:00:00,-3.5994568,1.505539,-1.7743225,-0.08151245,288.80566,290.46295,13.0,77.5
2025-01-07 01:00:00,-3.8705902,1.1708069,-1.652298,-0.16287231,288.7774,290.5196,13.0,77.5
2025-01-07 02:00:00,-4.3428802,0.6171112,-2.4425812,-0.32958984,289.33444,291.2447,13.0,77.5
2025-01-07 03:00:00,-3.218811,0.24972534,-2.2600708,0.11260986,289.5678,291.53387,13.0,77.5
2025-01-07 04:00:00,-2.6163177,0.6289978,-2.012085,0.49388123,288.90353,292.26004,13.0,77.5
2025-01-07 05:00:00,-2.3029938,0.20741272,-1.8306427,0.23954773,288.36,294.29608,13.0,77.5
2025-01-07 06:00:00,-2.1514587,-0.48620605,-1.7362671,-0.34960938,289.00476,297.4718,13.0,77.5
2025-01-07 07:00:00,-2.1447601,-0.65509033,-1.7319489,-0.49275208,288.56335,298.15292,13.0,77.5
2025-01-07 08:00:00,-2.0052948,-0.71307373,-1.6254272,-0.5448303,288.3325,299.20013,13.0,77.5
2025-01-07 09:00:00,-1.8860168,-0.7060089,-1.5327454,-0.5281067,287.3391,299.99042,13.0,77.5
2025-01-07 10:00:00,-1.195755,-0.6857147,-0.98599243,-0.51864624,288.15472,299.47583,13.0,77.5
2025-01-07 11:00:00,-1.2856293,-0.72865295,-1.0424652,-0.5486145,287.71378,299.38232,13.0,77.5
2025-01-07 12:00:00,-1.8735352,-0.61857605,-1.039856,-0.20352173,289.3249,298.50922,13.0,77.5
2025-01-07 13:00:00,-2.772934,-0.2250061,-2.1296234,-0.12991333,288.81546,297.36755,13.0,77.5
2025-01-07 14:00:00,-3.860321,-0.078567505,-1.91362,-0.30378723,288.67496,296.37756,13.0,77.5
2025-01-07 15:00:00,-4.7711487,-0.13169861,-2.0647583,-0.48736572,288.14682,294.03638,13.0,77.5
2025-01-07 16:00:00,-5.4406586,-0.1930542,-2.223816,-0.5028076,288.21143,293.82373,13.0,77.5
2025-01-07 17:00:00,-5.7177734,-0.023010254,-2.3733368,-0.38127136,288.50574,292.73212,13.0,77.5
2025-01-07 18:00:00,-6.013504,0.057022095,-2.5663605,-0.3316803,288.7083,292.24884,13.0,77.5
2025-01-07 19:00:00,-6.241394,0.30221558,-2.7304382,-0.17256165,288.71732,292.06302,13.0,77.5
2025-01-07 20:00:00,-6.180893,0.6271057,-2.774887,0.019424438,288.95316,291.27567,13.0,77.5
2025-01-07 21:00:00,-5.7704926,0.94433594,-2.52771,0.1401825,289.25696,291.02847,13.0,77.5
2025-01-07 22:00:00,-5.4091187,0.88217163,-2.3844757,0.15301514,288.8587,290.04358,13.0,77.5
2025-01-07 23:00:00,-4.558426,0.49160767,-1.7953796,-0.11004639,288.78864,289.52783,13.0,77.5
2025-01-08 00:00:00,-3.9481354,-0.1023407,-1.4730072,-0.47509766,289.47787,290.6249,13.0,77.5
2025-01-08 01:00:00,-3.7992249,-0.867218,-1.4714661,-0.741333,289.28833,290.39975,13.0,77.5
2025-01-08 02:00:00,-3.5912476,-1.3591461,-1.7207489,-0.9630585,289.662,291.12067,13.0,77.5
2025-01-08 03:00:00,-2.6896667,-1.0780792,-1.5585632,-0.6354523,289.85608,291.35187,13.0,77.5
2025-01-08 04:00:00,-2.6705933,-0.9563141,-2.0249023,-0.6746063,287.93848,292.17062,13.0,77.5
2025-01-08 05:00:00,-2.6334534,-1.8415527,-2.0718842,-1.4065857,285.79242,294.5283,13.0,77.5
2025-01-08 06:00:00,-2.681305,-2.3369904,-2.1053314,-1.8282013,285.21802,298.05188,13.0,77.5
2025-01-08 07:00:00,-2.9062042,-2.4239044,-2.2792053,-1.8998871,284.4647,298.65192,13.0,77.5
2025-01-08 08:00:00,-3.1558838,-2.1824493,-2.4732513,-1.7045288,282.9132,299.8928,13.0,77.5
2025-01-08 09:00:00,-3.3063965,-1.9407043,-2.5842438,-1.4994354,282.20935,300.15988,13.0,77.5
2025-01-08 10:00:00,-3.1670532,-1.8662109,-2.4619293,-1.4293823,283.29633,299.07645,13.0,77.5
2025-01-08 11:00:00,-3.3256378,-1.7799683,-2.4935455,-1.3216095,283.59717,298.8273,13.0,77.5
2025-01-08 12:00:00,-3.7342682,-1.3687134,-1.6237793,-0.5887909,284.60193,298.223,13.0,77.5
2025-01-08 13:00:00,-5.055481,-1.1065826,-2.1260223,-0.5235901,284.14093,297.22235,13.0,77.5
2025-01-08 14:00:00,-6.236084,-0.56159973,-2.5112915,-0.41111755,283.98438,296.1234,13.0,77.5
2025-01-08 15:00:00,-6.8616486,0.12362671,-2.908722,-0.14630127,284.1948,293.4228,13.0,77.5
2025-01-08 16:00:00,-7.113144,0.47924805,-3.1966248,0.007369995,284.5955,292.97485,13.0,77.5
2025-01-08 17:00:00,-7.147461,0.48712158,-3.307541,0.053771973,285.93652,291.5252,13.0,77.5
2025-01-08 18:00:00,-7.159912,0.2691803,-3.3887024,-0.020187378,286.66327,291.081,13.0,77.5
2025-01-08 19:00:00,-7.0713196,0.06121826,-3.4008179,-0.08566284,287.41354,290.40488,13.0,77.5
2025-01-08 20:00:00,-6.794464,-0.23942566,-3.2450104,-0.23257446,287.49,289.15848,13.0,77.5
2025-01-08 21:00:00,-6.3699036,-0.6244049,-3.0075378,-0.42541504,287.8729,288.7229,13.0,77.5
2025-01-08 22:00:00,-6.1848145,-0.16056824,-3.0647736,-0.14909363,287.565,288.37744,13.0,77.5
2025-01-08 23:00:00,-5.550354,-0.2883606,-3.3298492,-0.30830383,287.60068,288.48987,13.0,77.5
2025-01-09 00:00:00,-5.215103,-0.75845337,-3.406723,-0.58895874,288.30286,289.68048,13.0,77.5
2025-01-09 01:00:00,-5.646286,-1.2090149,-3.2201843,-0.7801666,287.86328,289.75696,13.0,77.5
2025-01-09 02:00:00,-5.7610474,-0.9829712,-3.2643433,-0.63616943,287.18872,289.7444,13.0,77.5
